"ID","Description","Published","Solved By","Solve Status"
1,"Multiples of $3$ or $5$",1002301200,970530,1
2,"Even Fibonacci Numbers",1003510800,774842,1
3,"Largest Prime Factor",1004724000,558434,1
4,"Largest Palindrome Product",1005933600,494516,1
5,"Smallest Multiple",1007143200,497832,1
6,"Sum Square Difference",1008352800,500838,1
7,"$10001$st Prime",1009562400,429127,1
8,"Largest Product in a Series",1010772000,360129,1
9,"Special Pythagorean Triplet",1011981600,365078,1
10,"Summation of Primes",1013191200,334843,1
11,"Largest Product in a Grid",1014400800,241029,0
12,"Highly Divisible Triangular Number",1015610400,227674,1
13,"Large Sum",1016820000,232978,1
14,"Longest Collatz Sequence",1018026000,233239,1
15,"Lattice Paths",1019235600,192824,1
16,"Power Digit Sum",1020445200,235460,1
17,"Number Letter Counts",1021654800,156773,1
18,"Maximum Path Sum I",1022864400,150128,0
19,"Counting Sundays",1024074000,139498,0
20,"Factorial Digit Sum",1024678800,204007,1
21,"Amicable Numbers",1025888400,151415,1
22,"Names Scores",1027098000,139360,1
23,"Non-Abundant Sums",1028307600,108433,0
24,"Lexicographic Permutations",1029517200,119002,0
25,"$1000$-digit Fibonacci Number",1030726800,160557,1
26,"Reciprocal Cycles",1031936400,87651,0
27,"Quadratic Primes",1033146000,91063,0
28,"Number Spiral Diagonals",1034355600,112002,0
29,"Distinct Powers",1035565200,109524,1
30,"Digit Fifth Powers",1036778400,114104,1
31,"Coin Sums",1037988000,88703,0
32,"Pandigital Products",1039197600,74457,0
33,"Digit Cancelling Fractions",1040407200,74806,0
34,"Digit Factorials",1041616800,97902,1
35,"Circular Primes",1042826400,88139,0
36,"Double-base Palindromes",1044036000,92244,0
37,"Truncatable Primes",1045245600,76699,0
38,"Pandigital Multiples",1046455200,65834,0
39,"Integer Right Triangles",1047664800,76266,0
40,"Champernowne's Constant",1048874400,83299,0
41,"Pandigital Prime",1050080400,71083,0
42,"Coded Triangle Numbers",1051290000,77384,1
43,"Sub-string Divisibility",1052499600,62593,0
44,"Pentagon Numbers",1053709200,61251,0
45,"Triangular, Pentagonal, and Hexagonal",1054918800,73835,0
46,"Goldbach's Other Conjecture",1056128400,64392,0
47,"Distinct Primes Factors",1057338000,60660,0
48,"Self Powers",1058547600,115892,1
49,"Prime Permutations",1059757200,60564,0
50,"Consecutive Prime Sum",1060966800,65240,0
51,"Prime Digit Replacements",1062176400,35822,0
52,"Permuted Multiples",1063386000,67905,0
53,"Combinatoric Selections",1064595600,61401,0
54,"Poker Hands",1065805200,37960,0
55,"Lychrel Numbers",1067014800,56142,0
56,"Powerful Digit Sum",1068228000,60603,0
57,"Square Root Convergents",1069437600,43671,0
58,"Spiral Primes",1070647200,42148,0
59,"XOR Decryption",1071856800,43145,0
60,"Prime Pair Sets",1073066400,28292,0
61,"Cyclical Figurate Numbers",1074276000,26930,0
62,"Cubic Permutations",1075485600,33159,0
63,"Powerful Digit Counts",1076695200,45146,0
64,"Odd Period Square Roots",1077904800,23377,0
65,"Convergents of $e$",1079114400,31371,0
66,"Diophantine Equation",1080324000,20815,0
67,"Maximum Path Sum II",1081530000,99144,0
68,"Magic 5-gon Ring",1082739600,21919,0
69,"Totient Maximum",1083949200,36496,0
70,"Totient Permutation",1085158800,23501,0
71,"Ordered Fractions",1086368400,30733,0
72,"Counting Fractions",1087578000,23548,0
73,"Counting Fractions in a Range",1088787600,26281,0
74,"Digit Factorial Chains",1089997200,28078,0
75,"Singular Integer Right Triangles",1091206800,19008,0
76,"Counting Summations",1092416400,29922,0
77,"Prime Summations",1093626000,20234,0
78,"Coin Partitions",1094835600,17862,0
79,"Passcode Derivation",1095440400,42596,0
80,"Square Root Digital Expansion",1097254800,20871,0
81,"Path Sum: Two Ways",1098464400,35821,0
82,"Path Sum: Three Ways",1099677600,22165,0
83,"Path Sum: Four Ways",1100887200,19118,0
84,"Monopoly Odds",1102096800,13369,0
85,"Counting Rectangles",1103306400,25902,0
86,"Cuboid Route",1105120800,13418,0
87,"Prime Power Triples",1106330400,21926,0
88,"Product-sum Numbers",1107540000,10721,0
89,"Roman Numerals",1108749600,22166,0
90,"Cube Digit Pairs",1109959200,11949,0
91,"Right Triangles with Integer Coordinates",1111168800,16243,0
92,"Square Digit Chains",1112374800,43281,0
93,"Arithmetic Expressions",1113584400,12493,0
94,"Almost Equilateral Triangles",1114794000,13075,0
95,"Amicable Chains",1116003600,15129,0
96,"Su Doku",1117213200,18061,0
97,"Large Non-Mersenne Prime",1118422800,44832,0
98,"Anagramic Squares",1119027600,12048,0
99,"Largest Exponential",1120237200,31917,0
100,"Arranged Probability",1121446800,17175,0
101,"Optimum Polynomial",1122656400,12126,0
102,"Triangle Containment",1123866000,22920,0
103,"Special Subset Sums: Optimum",1125075600,8474,0
104,"Pandigital Fibonacci Ends",1126285200,16892,0
105,"Special Subset Sums: Testing",1127494800,8452,0
106,"Special Subset Sums: Meta-testing",1128704400,6742,0
107,"Minimal Network",1129914000,11520,0
108,"Diophantine Reciprocals I",1131127200,13199,0
109,"Darts",1132336800,8542,0
110,"Diophantine Reciprocals II",1133546400,8481,0
111,"Primes with Runs",1134756000,7612,0
112,"Bouncy Numbers",1135965600,25594,0
113,"Non-bouncy Numbers",1139594400,11558,0
114,"Counting Block Combinations I",1140199200,11311,0
115,"Counting Block Combinations II",1140804000,10346,0
116,"Red, Green or Blue Tiles",1141408800,12644,0
117,"Red, Green, and Blue Tiles",1142013600,11614,0
118,"Pandigital Prime Sets",1143223200,7325,0
119,"Digit Power Sum",1144429200,12884,0
120,"Square Remainders",1145638800,14371,0
121,"Disc Game Prize Fund",1148058000,10143,0
122,"Efficient Exponentiation",1149267600,8182,0
123,"Prime Square Remainders",1150477200,12011,0
124,"Ordered Radicals",1152896400,14253,0
125,"Palindromic Sums",1154710800,14101,0
126,"Cuboid Layers",1155920400,4972,0
127,"abc-hits",1157130000,6532,0
128,"Hexagonal Tile Differences",1159549200,5254,0
129,"Repunit Divisibility",1161968400,6567,0
130,"Composites with Prime Repunit Property",1161968400,6193,0
131,"Prime Cube Partnership",1163181600,7683,0
132,"Large Repunit Factors",1164996000,6625,0
133,"Repunit Nonfactors",1164996000,5779,0
134,"Prime Pair Connection",1166205600,7320,0
135,"Same Differences",1167415200,6679,0
136,"Singleton Difference",1167415200,5939,0
137,"Fibonacci Golden Nuggets",1168624800,5770,0
138,"Special Isosceles Triangles",1169290800,6088,0
139,"Pythagorean Tiles",1169888400,5897,0
140,"Modified Fibonacci Golden Nuggets",1170486000,4549,0
141,"Square Progressive Numbers",1171688400,4135,0
142,"Perfect Square Collection",1172278800,6061,0
143,"Torricelli Triangles",1172869200,2877,0
144,"Laser Beam Reflections ",1173459600,6521,0
145,"Reversible Numbers",1174050000,17302,0
146,"Investigating a Prime Pattern ",1174726800,5286,0
